O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank,margin,Vidhan_Sabha
1,Thakor Geniben Nagaji,Indian National Congress,101782,731,102513,45.26,Gujarat-Vav -7,1.0,15601.0,Vav 
1,Chavda Meghjibhai Amarabhai,Bharatiya Janata Party,58788,504,59292,45.22,Gujarat-Kalavad -76,1.0,15850.0,Kalavad 
1,Kalpeshbhai Ashabhai Parmar,Bharatiya Janata Party,83851,444,84295,47.45,Gujarat-Matar -115,1.0,15851.0,Matar 
1,Kunvarjibhai Mohanbhai Bavaliya,Bharatiya Janata Party,63347,461,63808,39.54,Gujarat-Jasdan -72,1.0,16172.0,Jasdan 
1,Chauhan Balrajsinh Kalyansinh,Bharatiya Janata Party,74721,412,75133,49.26,Gujarat-Dahegam -34,1.0,16173.0,Dahegam 
1,Kishor Kanani (Kumar),Bharatiya Janata Party,67117,89,67206,55.13,Gujarat-Varachha Road -161,1.0,16834.0,Varachha Road 
1,Kiritkumar Chimanlal Patel,Indian National Congress,102166,1339,103505,50.16,Gujarat-Patan -18,1.0,17177.0,Patan 
1,Kamleshbhai Rameshbhai Patel (Master),Bharatiya Janata Party,88787,379,89166,52.3,Gujarat-Petlad -113,1.0,17954.0,Petlad 
3,Kunvarjibhai Narsinhbhai Halpati,Bharatiya Janata Party,74202,300,74502,39.29,Gujarat-Mandvi -157,1.0,18109.0,Mandvi 
1,Ayar Mulubhai Hardasbhai Bera,Bharatiya Janata Party,77305,529,77834,40.96,Gujarat-Khambhalia -81,1.0,18745.0,Khambhalia 
1,Pradyuman Ganubhai Vaja,Bharatiya Janata Party,76734,1060,77794,51.38,Gujarat-Kodinar -92,1.0,19386.0,Kodinar 
1,Katara Rameshbhai Bhurabhai,Bharatiya Janata Party,59231,350,59581,42.78,Gujarat-Fatepura -129,1.0,19531.0,Fatepura 
2,Vijaybhai Rameshbhai Patel,Bharatiya Janata Party,62153,380,62533,47.54,Gujarat-Dangs -173,1.0,19674.0,Dangs 
1,Jitendra Kantilal Somani,Bharatiya Janata Party,80226,451,80677,39.75,Gujarat-Wankaner -67,1.0,19955.0,Wankaner 
