O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Vidhan_Sabha_Name,Rank
9,Gajjar Miteshkumar Narendrabhai,Independent,217,2,219,0.15,Gujarat-Ellisbridge -44,7.0
8,Amiraj,Independent,187,1,188,0.13,Gujarat-Ellisbridge -44,8.0
6,Mehta Ushabh Kaushikkumar (Rushabh),Bharatiya National Janta Dal,145,0,145,0.1,Gujarat-Ellisbridge -44,9.0
7,Surendrabhai Keshavlal Shah,Right to Recall Party,123,0,123,0.08,Gujarat-Ellisbridge -44,10.0
1,Katara Rameshbhai Bhurabhai,Bharatiya Janata Party,59231,350,59581,42.78,Gujarat-Fatepura -129,1.0
6,Govindbhai Dalabhai Parmar,Aam Aadmi Party,39140,910,40050,28.76,Gujarat-Fatepura -129,2.0
3,Machhar Raghubhai Ditabhai,Indian National Congress,29198,281,29479,21.17,Gujarat-Fatepura -129,3.0
8,Nota,None of the Above,4325,2,4327,3.11,Gujarat-Fatepura -129,4.0
2,Kanubhai Kuberbhai Katara,Communist Party of India  (Marxist),1710,0,1710,1.23,Gujarat-Fatepura -129,5.0
4,Alkeshbhai Fulsingbhai Katara,Bhartiya Tribal Party,1535,11,1546,1.11,Gujarat-Fatepura -129,6.0
7,Machhar Virabhai Makanbhai,Bhartiya Jan Parishad,1414,0,1414,1.02,Gujarat-Fatepura -129,7.0
5,Kishori Rakeshbhai Ambalal,Gujarat Nav Nirman Sena,1152,8,1160,0.83,Gujarat-Fatepura -129,8.0
2,Mahant Shambhunath Tundiya,Bharatiya Janata Party,63616,770,64386,47.22,Gujarat-Gadhada -106,1.0
4,Parmar Rameshbhai Parbhubhai,Aam Aadmi Party,37090,602,37692,27.64,Gujarat-Gadhada -106,2.0
1,Jagdishkumar Motilal Chavda,Indian National Congress,29631,268,29899,21.93,Gujarat-Gadhada -106,3.0
6,Nota,None of the Above,1997,34,2031,1.49,Gujarat-Gadhada -106,4.0
3,Solanki Babubhai Khimjibhai,Bahujan Samaj Party,1373,15,1388,1.02,Gujarat-Gadhada -106,5.0
5,Rajeshbhai Polabhai Parmar,Bhartiya Tribal Party,955,2,957,0.7,Gujarat-Gadhada -106,6.0
2,Nareshbhai  Maganbhai Patel,Bharatiya Janata Party,130531,585,131116,62.24,Gujarat-Gandevi -176,1.0
1,Ashokbhai Lallubhai Patel (Karate),Indian National Congress,37702,248,37950,18.01,Gujarat-Gandevi -176,2.0
3,Pankajbhai Lallubhai Patel,Aam Aadmi Party,37248,570,37818,17.95,Gujarat-Gandevi -176,3.0
4,Nota,None of the Above,3758,17,3775,1.79,Gujarat-Gandevi -176,4.0
2,Malti Kishor Maheshwari,Bharatiya Janata Party,83382,378,83760,55.23,Gujarat-Gandhidham -5,1.0
1,Bharatbhai Veljibhai Solanki,Indian National Congress,45729,200,45929,30.28,Gujarat-Gandhidham -5,2.0
5,Budhabhai Thavar Maheshwari,Aam Aadmi Party,14655,172,14827,9.78,Gujarat-Gandhidham -5,3.0
10,Nota,None of the Above,3087,18,3105,2.05,Gujarat-Gandhidham -5,4.0
3,Maurya K. D.,Bahujan Samaj Party,1002,8,1010,0.67,Gujarat-Gandhidham -5,5.0
7,Laljibhai Karabhai Baliya,Samajwadi Party,968,0,968,0.64,Gujarat-Gandhidham -5,6.0
9,Sondarva Jignasha Maheshbhai,Independent,787,6,793,0.52,Gujarat-Gandhidham -5,7.0
8,Samirbhai Jumabhai Maheshwari,Independent,558,1,559,0.37,Gujarat-Gandhidham -5,8.0
4,Arvind Ashok Sanghela,Gujarat Sarva Samaj Party,428,1,429,0.28,Gujarat-Gandhidham -5,9.0
6,Maheshwari Vanita Dahyalal,Sanyukt Vikas Party,285,0,285,0.19,Gujarat-Gandhidham -5,10.0
1,Ritaben Ketankumar Patel,Bharatiya Janata Party,79635,988,80623,51.25,Gujarat-Gandhinagar North -36,1.0
2,Virendrasinh Mafaji Vaghela (Ajitsinh-Vasan),Indian National Congress,53355,1157,54512,34.65,Gujarat-Gandhinagar North -36,2.0
4,Patel Mukeshbhai Karshanbhai,Aam Aadmi Party,15697,923,16620,10.56,Gujarat-Gandhinagar North -36,3.0
11,Nota,None of the Above,2561,52,2613,1.66,Gujarat-Gandhinagar North -36,4.0
3,Thakor Dharmesh (Dhambha Thakor),Garvi Gujarat Party,1024,27,1051,0.67,Gujarat-Gandhinagar North -36,5.0
5,Alkeshbhai Baldevbhai Parmar,Independent,514,5,519,0.33,Gujarat-Gandhinagar North -36,6.0
10,Shrimali Mrugeshkumar Amrutbhai,Independent,500,2,502,0.32,Gujarat-Gandhinagar North -36,7.0
9,Raj Prajapati,Independent,318,2,320,0.2,Gujarat-Gandhinagar North -36,8.0
6,Patni Mahendrabhai Somabhai,Independent,275,4,279,0.18,Gujarat-Gandhinagar North -36,9.0
8,Mahamdfarukh Bismillakhan Pathan,Independent,155,3,158,0.1,Gujarat-Gandhinagar North -36,10.0
7,Pathan Mohammad Izharkhan Aldadkhan,Independent,127,3,130,0.08,Gujarat-Gandhinagar North -36,11.0
1,Alpesh Khodaji Thakor,Bharatiya Janata Party,133339,712,134051,54.59,Gujarat-Gandhinagar South -35,1.0
3,Dr. Himanshu Patel (Adalaj),Indian National Congress,90017,970,90987,37.05,Gujarat-Gandhinagar South -35,2.0
5,Devendrabhai(Dolatbhai) Pravinchandra Patel,Aam Aadmi Party,10733,462,11195,4.56,Gujarat-Gandhinagar South -35,3.0
12,Nota,None of the Above,4416,26,4442,1.81,Gujarat-Gandhinagar South -35,4.0
2,Rajeshkumar Mangabhai Parmar,Bahujan Samaj Party,1678,15,1693,0.69,Gujarat-Gandhinagar South -35,5.0
11,Solanki Vinodkumar Kacharabhai,Independent,799,4,803,0.33,Gujarat-Gandhinagar South -35,6.0
4,Chaudhari Kishorsinh Shrichand,Jan Sewa Driver Party,583,0,583,0.24,Gujarat-Gandhinagar South -35,7.0
10,Solanki Dharmendrakumar Chimanbhai,Independent,577,1,578,0.24,Gujarat-Gandhinagar South -35,8.0
9,Rajveer,Independent,435,1,436,0.18,Gujarat-Gandhinagar South -35,9.0
7,Acharya Keyur Chimanbhai,Independent,304,3,307,0.13,Gujarat-Gandhinagar South -35,10.0
6,Rajendra Sureshbhai Parmar,Bhartiya Jan Parishad,298,2,300,0.12,Gujarat-Gandhinagar South -35,11.0
8,Kishorpuri Chandanpuri Gauswami,Independent,204,3,207,0.08,Gujarat-Gandhinagar South -35,12.0
3,Bhabhor Mahendrabhai Rameshbhai,Bharatiya Janata Party,62276,151,62427,42.55,Gujarat-Garbada -133,1.0
1,Chandrikaben Chhaganbhai Bariya,Indian National Congress,34391,211,34602,23.59,Gujarat-Garbada -133,2.0
6,Shaileshbhai Kanubhai Bhabhor,Aam Aadmi Party,33091,504,33595,22.9,Gujarat-Garbada -133,3.0
7,Bamanya Ketankumar Kasnabhai,Independent,6070,149,6219,4.24,Gujarat-Garbada -133,4.0
8,Nota,None of the Above,4149,3,4152,2.83,Gujarat-Garbada -133,5.0
2,Bhabhor Dhulabhai Ditabhai,Bahujan Samaj Party,2214,8,2222,1.51,Gujarat-Garbada -133,6.0
4,Jagdishbhai Manilal Meda,Bharatiya National Janta Dal,2129,1,2130,1.45,Gujarat-Garbada -133,7.0
5,Bhabhor Ramasubhai Jogadabhai,Bhartiya Tribal Party,1361,1,1362,0.93,Gujarat-Garbada -133,8.0
6,Sudhirbhai Vaghani (Sudhir Vaghani),Aam Aadmi Party,60463,481,60944,43.46,Gujarat-Gariadhar -101,1.0
3,Nakrani Keshubhai Hirjibhai,Bharatiya Janata Party,55773,352,56125,40.03,Gujarat-Gariadhar -101,2.0
2,Chavada Divyeshbhai Manubhai,Indian National Congress,14967,132,15099,10.77,Gujarat-Gariadhar -101,3.0
4,Chavada Ghanshyambhai Ashokbhai,Rashtriya Hind Ekta Dal,2311,5,2316,1.65,Gujarat-Gariadhar -101,4.0
11,Nota,None of the Above,1482,9,1491,1.06,Gujarat-Gariadhar -101,5.0
1,Kantariya Kishorbhai Paljibhai,Bahujan Samaj Party,914,2,916,0.65,Gujarat-Gariadhar -101,6.0
9,Bambhaniya Vallabhbhai Ratnabhai,Independent,860,4,864,0.62,Gujarat-Gariadhar -101,7.0
8,Gauswami Piyushgiri Hasmukhgiri,Independent,757,6,763,0.54,Gujarat-Gariadhar -101,8.0
10,Rahulbhai Viththalbhai Raval,Independent,655,1,656,0.47,Gujarat-Gariadhar -101,9.0
5,Bhupatbhai Mohanbhai Vala,Right to Recall Party,558,6,564,0.4,Gujarat-Gariadhar -101,10.0
7,Sonrat Lakhubhai Jethsurbhai,Rashtriya Power Party,483,0,483,0.34,Gujarat-Gariadhar -101,11.0
2,Patel Bhupendrabhai Rajnikant,Bharatiya Janata Party,212480,1050,213530,82.95,Gujarat-Ghatlodia -41,1.0
1,Dr.Amee Yajnik,Indian National Congress,21120,147,21267,8.26,Gujarat-Ghatlodia -41,2.0
6,Vijay Patel,Aam Aadmi Party,15902,292,16194,6.29,Gujarat-Ghatlodia -41,3.0
10,Nota,None of the Above,3967,26,3993,1.55,Gujarat-Ghatlodia -41,4.0
4,Nimesh Atmaram Patel,Gunj Satya Ni Janata Party,776,3,779,0.3,Gujarat-Ghatlodia -41,5.0
3,Jayendra K. Rathod,Vyavastha Parivartan Party,524,1,525,0.2,Gujarat-Ghatlodia -41,6.0
9,Naresh Narayanbhai Priydarshi,Independent,374,1,375,0.15,Gujarat-Ghatlodia -41,7.0
7,Sanjuben Sohanlal Regar,Jan Sewa Driver Party,284,7,291,0.11,Gujarat-Ghatlodia -41,8.0
8,Hitendra Patel,Aadi Bharat Party,275,1,276,0.11,Gujarat-Ghatlodia -41,9.0
5,Rahul Chimanbhai Mehta,Right to Recall Party,181,0,181,0.07,Gujarat-Ghatlodia -41,10.0
2,C.K.Raulji,Bharatiya Janata Party,95561,662,96223,51.65,Gujarat-Godhra -126,1.0
1,Rashmitaben Dushyantsinh Chauhan,Indian National Congress,60599,426,61025,32.76,Gujarat-Godhra -126,2.0
3,Rajeshbhai Somabhai Patel,Aam Aadmi Party,11200,627,11827,6.35,Gujarat-Godhra -126,3.0
5,Hasan Shabbir Kachaba,All India Majlis-E-Ittehadul Muslimeen,9462,46,9508,5.1,Gujarat-Godhra -126,4.0
11,Nota,None of the Above,3547,1,3548,1.9,Gujarat-Godhra -126,5.0
10,Husnain Jakkiuddin Presswala,Independent,2289,0,2289,1.23,Gujarat-Godhra -126,6.0
9,Saiyed Safikali Rashidali,Independent,702,5,707,0.38,Gujarat-Godhra -126,7.0
4,Rathod Narvarsinh Hathisinh,Praja Vijay Paksh,330,0,330,0.18,Gujarat-Godhra -126,8.0
8,Badam Mo.Said Yusuf,Independent,312,4,316,0.17,Gujarat-Godhra -126,9.0
7,Patel Mayurkumar Jashavantlal,Independent,309,2,311,0.17,Gujarat-Godhra -126,10.0
6,Kalandar Mohammedhanif Ahmedsaeed,Independent,218,1,219,0.12,Gujarat-Godhra -126,11.0
1,Geetaba Jayrajsinh Jadeja,Bharatiya Janata Party,85359,703,86062,59.49,Gujarat-Gondal -73,1.0
2,Desai Yatish Govindlal,Indian National Congress,42585,164,42749,29.55,Gujarat-Gondal -73,2.0
3,Nimishaben Khunt,Aam Aadmi Party,12825,250,13075,9.04,Gujarat-Gondal -73,3.0
5,Nota,None of the Above,2148,16,2164,1.5,Gujarat-Gondal -73,4.0
4,Mukesh Dholumal Vardhani,Independent,612,4,616,0.43,Gujarat-Gondal -73,5.0
2,Jaydrathsinhji Parmar,Bharatiya Janata Party,100002,751,100753,50.7,Gujarat-Halol -128,1.0
8,Ramchandra Baria,Independent,57770,278,58048,29.21,Gujarat-Halol -128,2.0
4,Bharatkumar Rathava,Aam Aadmi Party,21468,320,21788,10.96,Gujarat-Halol -128,3.0
1,Anishbhai Gordhanbhai Baria,Indian National Congress,6919,45,6964,3.5,Gujarat-Halol -128,4.0
10,Nota,None of the Above,3454,6,3460,1.74,Gujarat-Halol -128,5.0
9,Solanki Ishvarbhai,Independent,2720,7,2727,1.37,Gujarat-Halol -128,6.0
3,Nayak Somabhai Meghabhai,Bahujan Samaj Party,1930,3,1933,0.97,Gujarat-Halol -128,7.0
6,Jadav Muktiben Rajendrasinh,Independent,1237,18,1255,0.63,Gujarat-Halol -128,8.0
7,Parmar Rekhaben Rajendrasinh,Independent,980,5,985,0.5,Gujarat-Halol -128,9.0
5,Rathava Sevajibhai Bhilabhai,Praja Vijay Paksh,791,5,796,0.4,Gujarat-Halol -128,10.0
3,Vinendrasinh Dilipsinh Zala,Bharatiya Janata Party,97879,913,98792,48.35,Gujarat-Himatnagar -27,1.0
1,Kamleshkumar Jayantibhai Patel,Indian National Congress,88033,1899,89932,44.01,Gujarat-Himatnagar -27,2.0
4,Nirmalsinh Ajabsinh Parmar,Aam Aadmi Party,9513,498,10011,4.9,Gujarat-Himatnagar -27,3.0
9,Nota,None of the Above,2436,20,2456,1.2,Gujarat-Himatnagar -27,4.0
2,Parmar Anilkumar Ramanlal,Bahujan Samaj Party,1173,8,1181,0.58,Gujarat-Himatnagar -27,5.0
7,Sanghani Sikandarbhai Mustakbhai,Independent,736,0,736,0.36,Gujarat-Himatnagar -27,6.0
8,Solanki Maganbhai Lakhabhai,Independent,578,1,579,0.28,Gujarat-Himatnagar -27,7.0
6,Sanghani Salmankhan Mustakbhai,Independent,326,1,327,0.16,Gujarat-Himatnagar -27,8.0
5,Pathan Usmangani Mahmdkhan,Independent,315,1,316,0.15,Gujarat-Himatnagar -27,9.0
1,Ramanlal Ishwarlal Vora,Bharatiya Janata Party,113137,784,113921,55.16,Gujarat-Idar -28,1.0
2,Ramabhai Virchandbhai Solanki,Indian National Congress,73801,680,74481,36.06,Gujarat-Idar -28,2.0
3,Jayantibhai Pranami,Aam Aadmi Party,14166,402,14568,7.05,Gujarat-Idar -28,3.0
4,Nota,None of the Above,3556,12,3568,1.73,Gujarat-Idar -28,4.0
1,R.C.Patel,Bharatiya Janata Party,105921,323,106244,66.83,Gujarat-Jalalpore -174,1.0
2,Ranjit (Munnabhai) Panchal,Indian National Congress,37400,145,37545,23.62,Gujarat-Jalalpore -174,2.0
4,Pradipkumar (Bankwala),Aam Aadmi Party,10167,229,10396,6.54,Gujarat-Jalalpore -174,3.0
5,Nota,None of the Above,3534,15,3549,2.23,Gujarat-Jalalpore -174,4.0
3,Nausrka Mahammad Shaukatali,SOCIAL DEMOCRATIC PARTY OF INDIA,1241,0,1241,0.78,Gujarat-Jalalpore -174,5.0
1,Imran Khedawala,Indian National Congress,58235,252,58487,45.88,Gujarat-Jamalpur - Khadia -52,1.0
2,Bhushan Ashok Bhatt,Bharatiya Janata Party,44649,180,44829,35.17,Gujarat-Jamalpur - Khadia -52,2.0
4,Sabirbhai Kabliwala,All India Majlis-E-Ittehadul Muslimeen,15655,22,15677,12.3,Gujarat-Jamalpur - Khadia -52,3.0
6,Harunbhai. F. Nagori,Aam Aadmi Party,5785,102,5887,4.62,Gujarat-Jamalpur - Khadia -52,4.0
9,Nota,None of the Above,1527,7,1534,1.2,Gujarat-Jamalpur - Khadia -52,5.0
3,Bukeliya Hiteshbhai Sanjaybhai,Rashtriya Power Party,430,2,432,0.34,Gujarat-Jamalpur - Khadia -52,6.0
8,Sarfrajhusen Sabirhusen Ansari,Independent,243,0,243,0.19,Gujarat-Jamalpur - Khadia -52,7.0
7,Mehbub Mohamadbhai Rangrej,Independent,194,0,194,0.15,Gujarat-Jamalpur - Khadia -52,8.0
5,Sanjuben Sohanlal Regar,Jan Sewa Driver Party,192,1,193,0.15,Gujarat-Jamalpur - Khadia -52,9.0
1,Devkishordasji Bhaktisvarupdasji Swami,Bharatiya Janata Party,90907,626,91533,55.74,Gujarat-Jambusar -150,1.0
2,Sanjaybhai Jesangbhai Solanki,Indian National Congress,63928,225,64153,39.07,Gujarat-Jambusar -150,2.0
5,Sajidkhan Husenmahammadkhan Rehan,Aam Aadmi Party,3387,31,3418,2.08,Gujarat-Jambusar -150,3.0
8,Nota,None of the Above,2269,4,2273,1.38,Gujarat-Jambusar -150,4.0
3,Jambu Pramodbhai Bhagubhai,Bahujan Republican  Socialist Party,820,7,827,0.5,Gujarat-Jambusar -150,5.0
6,Ismail Ahmad Patel,Independent,820,1,821,0.5,Gujarat-Jambusar -150,6.0
7,Sureshbhai Dahyabhai Parmar,Independent,662,2,664,0.4,Gujarat-Jambusar -150,7.0
4,Manilal Bhogilal Pandya,Bhartiya Tribal Party,517,1,518,0.32,Gujarat-Jambusar -150,8.0
3,Ahir Hemantbhai Hardasbhai,Aam Aadmi Party,70659,738,71397,47.45,Gujarat-Jamjodhpur -80,1.0
2,Chimanbhai Sapariya,Bharatiya Janata Party,60336,658,60994,40.54,Gujarat-Jamjodhpur -80,2.0
1,Kalaria Chiragbhai Rameshbhai,Indian National Congress,13366,148,13514,8.98,Gujarat-Jamjodhpur -80,3.0
10,Nota,None of the Above,1515,28,1543,1.03,Gujarat-Jamjodhpur -80,4.0
8,Pravinbhai Vallabhbhai Patel,Independent,885,2,887,0.59,Gujarat-Jamjodhpur -80,5.0
9,Basirbhai Sidikbhai Sama,Independent,801,1,802,0.53,Gujarat-Jamjodhpur -80,6.0
4,Juneja Sabbirbhai Ibrahimbhai,Samajwadi Party,473,0,473,0.31,Gujarat-Jamjodhpur -80,7.0
7,Joshi Amit Babubhai,Independent,385,1,386,0.26,Gujarat-Jamjodhpur -80,8.0
6,Ambalal Manjibhai Vavecha,Independent,260,0,260,0.17,Gujarat-Jamjodhpur -80,9.0
5,Abu Umar Shida,Independent,196,1,197,0.13,Gujarat-Jamjodhpur -80,10.0
3,Rivasinh Hardevsinh Solanki (Rivaba Ravindrasinh Jadeja),Bharatiya Janata Party,88119,716,88835,57.79,Gujarat-Jamnagar North -78,1.0
4,Karshanbhai Karmur (Ahir Karshanbhai Parbatbhai Karmur),Aam Aadmi Party,34818,447,35265,22.94,Gujarat-Jamnagar North -78,2.0
2,Bipendrasinh Chatursinh Jadeja,Indian National Congress,23088,186,23274,15.14,Gujarat-Jamnagar North -78,3.0
12,Nota,None of the Above,2419,25,2444,1.59,Gujarat-Jamnagar North -78,4.0
1,Advocate Jagdish Manshibhai Gadhavi,Bahujan Samaj Party,2077,11,2088,1.36,Gujarat-Jamnagar North -78,5.0
9,Malek Aadil Rasidbhai,Independent,396,2,398,0.26,Gujarat-Jamnagar North -78,6.0
11,Hinaben Depabhai Makwana,Independent,375,2,377,0.25,Gujarat-Jamnagar North -78,7.0
10,Miya Aamin Rahimbhai,Independent,328,0,328,0.21,Gujarat-Jamnagar North -78,8.0
5,Anvar Daud Kakal,Independent,292,1,293,0.19,Gujarat-Jamnagar North -78,9.0
8,Jahid Aavadbhai Jami,Independent,179,0,179,0.12,Gujarat-Jamnagar North -78,10.0
7,Chavda Ashok Nathabhai,Independent,130,1,131,0.09,Gujarat-Jamnagar North -78,11.0
6,Ker Rahim Osmanbhai,Independent,113,1,114,0.07,Gujarat-Jamnagar North -78,12.0
3,Patel Raghavjibhai Hansrajbhai,Bharatiya Janata Party,79056,383,79439,48.8,Gujarat-Jamnagar Rural -77,1.0
4,Prakash Dhirubhai Donga,Aam Aadmi Party,31656,283,31939,19.62,Gujarat-Jamnagar Rural -77,2.0
1,Kasam Nurmamad Khafi,Bahujan Samaj Party,29133,29,29162,17.91,Gujarat-Jamnagar Rural -77,3.0
2,Ahir Jivanbhai K. Kumbharvadiya,Indian National Congress,18675,62,18737,11.51,Gujarat-Jamnagar Rural -77,4.0
7,Nota,None of the Above,2275,10,2285,1.4,Gujarat-Jamnagar Rural -77,5.0
5,Chandra Dharmendra Dhirajlal,Independent,659,1,660,0.41,Gujarat-Jamnagar Rural -77,6.0
6,Bhuralal Meghajibhai Parmar,Independent,550,8,558,0.34,Gujarat-Jamnagar Rural -77,7.0
1,Akbari Divyeshbhai Ranchhodbhai,Bharatiya Janata Party,86045,447,86492,65.12,Gujarat-Jamnagar South -79,1.0
2,Kathiriya Manojbhai  Gordhanbhai,Indian National Congress,23730,65,23795,17.92,Gujarat-Jamnagar South -79,2.0
6,Vishal Rajbal Tyagi,Aam Aadmi Party,16455,130,16585,12.49,Gujarat-Jamnagar South -79,3.0
15,Nota,None of the Above,2164,18,2182,1.64,Gujarat-Jamnagar South -79,4.0
10,Chauhan Juned Abdul Rajak,Independent,1109,0,1109,0.83,Gujarat-Jamnagar South -79,5.0
3,Makuben Kishorbhai Rathod (Meenaben),Bahujan Samaj Party,859,7,866,0.65,Gujarat-Jamnagar South -79,6.0
14,Parmar Arjunbhai Karshanbhai,Independent,383,0,383,0.29,Gujarat-Jamnagar South -79,7.0
7,Abjal Mamadbhai Bhaya,Independent,276,1,277,0.21,Gujarat-Jamnagar South -79,8.0
5,Gohel Mukesh Vajubhai,Gujarat Nav Nirman Sena,260,0,260,0.2,Gujarat-Jamnagar South -79,9.0
13,Pattani Chandrakant Mohanlal,Independent,205,0,205,0.15,Gujarat-Jamnagar South -79,10.0
4,Kamleshkumar Jentilal Hirpara,Bharatiya National Janta Dal,200,0,200,0.15,Gujarat-Jamnagar South -79,11.0
11,Chauhan Bharatbhai Mohanbhai,Independent,164,2,166,0.12,Gujarat-Jamnagar South -79,12.0
12,Jitesh Babubhai Rathod,Independent,121,0,121,0.09,Gujarat-Jamnagar South -79,13.0
9,Kadari Mahmad Hushen Aarifmiya,Independent,90,1,91,0.07,Gujarat-Jamnagar South -79,14.0
8,Alimamad Ishak Palani,Independent,83,0,83,0.06,Gujarat-Jamnagar South -79,15.0
1,Kunvarjibhai Mohanbhai Bavaliya,Bharatiya Janata Party,63347,461,63808,39.54,Gujarat-Jasdan -72,1.0
3,Tejasbhai Bhikhabhai Gajipara,Aam Aadmi Party,47277,359,47636,29.52,Gujarat-Jasdan -72,2.0
2,Bholabhai Bhikhabhai Gohel,Indian National Congress,45460,335,45795,28.38,Gujarat-Jasdan -72,3.0
7,Nota,None of the Above,2057,16,2073,1.28,Gujarat-Jasdan -72,4.0
6,Ramaben Prakashbhai Gorasva,Independent,789,2,791,0.49,Gujarat-Jasdan -72,5.0
4,Shamjibhai Ambabhai Dangar (Koli),Rashtriya Hind Ekta Dal,701,6,707,0.44,Gujarat-Jasdan -72,6.0
5,Devrajbhai Mashrubhai Makvana,Independent,542,6,548,0.34,Gujarat-Jasdan -72,7.0
1,Rathwa Jayantibhai Savjibhai,Bharatiya Janata Party,85545,496,86041,47.53,Gujarat-Jetpur -138,1.0
5,Rathwa Radhikaben Amarsinghbhai,Aam Aadmi Party,47439,823,48262,26.66,Gujarat-Jetpur -138,2.0
2,Sukhrambhai Hariyabhai Rathwa,Indian National Congress,33423,249,33672,18.6,Gujarat-Jetpur -138,3.0
7,Nota,None of the Above,4593,5,4598,2.54,Gujarat-Jetpur -138,4.0
3,Rathwa Namalabhai (Narendrabhai) Gurjibhai,Bhartiya Tribal Party,4306,20,4326,2.39,Gujarat-Jetpur -138,5.0
6,Varsanbhai Fuljibhai Rathwa,Independent,2941,3,2944,1.63,Gujarat-Jetpur -138,6.0
4,Rathwa Nevsingbhai Chhaganbhai,Pachchasi Parivartan Samaj Party,1165,0,1165,0.64,Gujarat-Jetpur -138,7.0
1,Jayeshbhai Vitthalbhai Radadiya,Bharatiya Janata Party,106135,336,106471,60.79,Gujarat-Jetpur -74,1.0
6,Rohitbhai Vinubhai Bhuva,Aam Aadmi Party,29287,258,29545,16.87,Gujarat-Jetpur -74,2.0
5,Rajubhai Arjanbhai Sarvaiya,Samajwadi Party,20743,45,20788,11.87,Gujarat-Jetpur -74,3.0
2,Deepakbhai Keshavlal Vekariya (D.K. Vekariya),Indian National Congress,12200,44,12244,6.99,Gujarat-Jetpur -74,4.0
9,Nota,None of the Above,2282,5,2287,1.31,Gujarat-Jetpur -74,5.0
8,Jayendrasinh Govubha Chauhan,Independent,1920,3,1923,1.1,Gujarat-Jetpur -74,6.0
3,Boricha Devshibhai Kumbhabhai,Bahujan Samaj Party,1054,11,1065,0.61,Gujarat-Jetpur -74,7.0
7,Chavda Bharatkumar Nanjibhai,Independent,433,1,434,0.25,Gujarat-Jetpur -74,8.0
4,Alpeshkumar V. Vadoliya (108),Right to Recall Party,386,0,386,0.22,Gujarat-Jetpur -74,9.0
2,Riteshkumar Ramanbhai Vasava (Kalabhai),Bharatiya Janata Party,89552,381,89933,45.55,Gujarat-Jhagadia -152,1.0
4,Chhotubhai Amarsinh Vasava,Independent,66185,248,66433,33.64,Gujarat-Jhagadia -152,2.0
3,Bhagat Urmilaben Mukeshbhai,Aam Aadmi Party,19197,525,19722,9.99,Gujarat-Jhagadia -152,3.0
1,Fatesingbhai Chimanbhai Vasava,Indian National Congress,15128,91,15219,7.71,Gujarat-Jhagadia -152,4.0
5,Vasava Ranjitsinh Ganpatsinh,Independent,3122,15,3137,1.59,Gujarat-Jhagadia -152,5.0
6,Nota,None of the Above,3004,8,3012,1.53,Gujarat-Jhagadia -152,6.0
1,Maheshbhai Somjibhai Bhuriya,Bharatiya Janata Party,82429,316,82745,51.41,Gujarat-Jhalod -130,1.0
3,Anilbhai Somabhai Garasiya,Aam Aadmi Party,46897,626,47523,29.53,Gujarat-Jhalod -130,2.0
2,Miteshbhai Kalabhai Garasiya,Indian National Congress,21863,133,21996,13.67,Gujarat-Jhalod -130,3.0
7,Nota,None of the Above,4642,4,4646,2.89,Gujarat-Jhalod -130,4.0
4,Mansukhbhai Ratanbhai Katara,Bhartiya Tribal Party,1525,0,1525,0.95,Gujarat-Jhalod -130,5.0
6,Harichandra Shashikantbhai Mahida,Independent,1308,0,1308,0.81,Gujarat-Jhalod -130,6.0
5,Mohanbhai Parsingbhai Sangada,Independent,1209,1,1210,0.75,Gujarat-Jhalod -130,7.0
3,Sanjay Sukhabhai Koradia,Bharatiya Janata Party,83767,849,84616,52.01,Gujarat-Junagadh -86,1.0
1,Joshi Bhikhabhai Galabhai,Indian National Congress,43792,568,44360,27.26,Gujarat-Junagadh -86,2.0
5,Chetankumar Harsukhbhai Gajera,Aam Aadmi Party,27705,601,28306,17.4,Gujarat-Junagadh -86,3.0
10,Nota,None of the Above,1959,43,2002,1.23,Gujarat-Junagadh -86,4.0
2,Mayurbhai Harilal Ranva,Bahujan Samaj Party,889,11,900,0.55,Gujarat-Junagadh -86,5.0
4,Gorfad Dilipkumar Ranchhodbhai,Bhartiya Jan Parishad,840,5,845,0.52,Gujarat-Junagadh -86,6.0
6,Ghanshyamkumar Himantbhai Mashru,Independent,751,9,760,0.47,Gujarat-Junagadh -86,7.0
9,Haresh Manubhai Sardhara,Independent,378,3,381,0.23,Gujarat-Junagadh -86,8.0
8,Shashikant Karshanbhai Ravat,Independent,343,4,347,0.21,Gujarat-Junagadh -86,9.0
7,Mamtaben Jayantilal Botvadiya,Independent,186,4,190,0.12,Gujarat-Junagadh -86,10.0
1,Karsanbhai Punjabhai Solanki,Bharatiya Janata Party,106699,353,107052,53.45,Gujarat-Kadi -24,1.0
2,Pravinbhai Ganapatbhai Parmar,Indian National Congress,78528,330,78858,39.37,Gujarat-Kadi -24,2.0
4,Hargovan Karsandas Dabhi,Aam Aadmi Party,7061,192,7253,3.62,Gujarat-Kadi -24,3.0
9,Nota,None of the Above,2496,9,2505,1.25,Gujarat-Kadi -24,4.0
6,Mangalbhai Kacharabhai Makwana,Independent,1497,2,1499,0.75,Gujarat-Kadi -24,5.0
3,Bhupendrakumar Bhikhabhai Ravat,Rashtriya Hind Ekta Dal,1078,0,1078,0.54,Gujarat-Kadi -24,6.0
7,Laxmichand Pujabhai Chavada,Independent,861,2,863,0.43,Gujarat-Kadi -24,7.0
8,Senama Mahendrabhai Somabhai,Independent,836,0,836,0.42,Gujarat-Kadi -24,8.0
